,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",Long Island,86.738879260543%,88.760585065435%,86.6760577063195%,3.75307724464676%,1.42827714069903%,5.1868544600939%,5.93470095348165%,4.82513703389176%,6.67507519161735%,0%,0%,0%,72471.4898265011,83786.0034692108,66537.3149518045
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",Long Island,83.1107678509143%,82.6836109680005%,83.4205269666128%,5.4493167362875%,4.30273156705689%,5.75996328310258%,2.7668574272207%,2.63445498993385%,3.07172044525856%,1.43289666956444%,1.02464691221268%,1.15165336374002%,77287.9142060613,93733.1161728053,67748.3979475485
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",Long Island,78.5931174089069%,81.5924170616114%,76.0668513215342%,10.1089531027949%,4.2000172131853%,9.50590762620838%,7.90072328511433%,7.52668552139403%,7.9439469166164%,4.68696674377157%,1.56830855018587%,3.5857557242486%,63074.6180068937,85023.9881505576,55170.1882367463
LONG ISLAND,,82.6788736344062%,84.3270838120728%,81.3244052551906%,8.01961270223386%,4.02235885093381%,9.87127440592523%,5.11122381645753%,3.6105974911174%,6.26665427278924%,2.2816569856716%,1.02158642589088%,2.87806102679132%,87856.4927372568,113284.618306947,63878.6110321552
"Dutchess County (North & East) PUMA, New York",Mid-Hudson,81.7681992739177%,84.3162437069763%,80.438155056945%,8.85176029324013%,3.91946788089817%,9.98468974212723%,5.2656669844847%,4.53450623101895%,5.72963645633162%,3.65942595197166%,1.73642844087004%,4.29300221388007%,68604.437058899,90721.1453116432,53639.8260501435
"Dutchess County (Southwest) PUMA, New York",Mid-Hudson,81.9656841179059%,87.7367983549897%,80.1277343126298%,17.4931833674165%,6.3389896625707%,19.6381053751996%,7.80908789154627%,1.40347740580164%,9.65462358745822%,6.59397828018989%,2.5231873940361%,9.12655106907562%,66518.5448182579,87992.9882317742,50849.1302407142
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",Mid-Hudson,82.4576493919193%,83.9107736117703%,82.6369138773427%,14.0635551142006%,3.24398526118055%,15.2569240892505%,3.90126809397958%,1.33268324394604%,3.31011730205279%,7.08608693120615%,1.12702960840497%,8.12720848056537%,64906.3988293588,89155.1432880845,56316.3241263678
"Orange County (Northwest) PUMA, New York",Mid-Hudson,82.0767494356659%,87.6549783220507%,80.0514668039115%,18.2130818209677%,9.3030649879181%,17.0498971193416%,4.49204773666351%,5.25687868167922%,4.35744382022472%,7.6328448683369%,6.10033210977102%,6.39882240886657%,62746.3748624863,85345.1154113155,53700.8820882088
"Orange County (Southeast) PUMA, New York",Mid-Hudson,82.0594454608092%,87.3538276069922%,78.3921502568854%,14.2214558812505%,4.91251005631537%,15.7225277505989%,5.1120630487776%,6.48506884425106%,3.20067739204064%,6.31117307077924%,0.945349158156224%,8.13161875945537%,77352.3416526724,99898.2194314104,62318.7633628794
"Putnam County PUMA, New York",Mid-Hudson,80.9413657849744%,86.7023554603854%,75.0232808900652%,4.15003990422985%,0.558940530741729%,6.84377707190297%,3.64878200799875%,1.24809397413452%,5.86516074701541%,1.22609428134652%,0.253148925660657%,2.30895375532962%,92378.7498136183,117576.879229439,68206.1722087934
"Rockland County (North)--New City & Congers PUMA, New York",Mid-Hudson,79.0743004393934%,82.957213670754%,77.8284537295866%,10.0047628386518%,3.89922702547953%,11.2941607175545%,4.16314954249249%,2.88741721854305%,5.96512237108001%,4.78796741174013%,3.23138611526063%,4.67863894139887%,85545.7006475872,101051.505228398,70360.8742911153
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",Mid-Hudson,80.489766487326%,82.4987354577643%,81.4953413777303%,9.83519893350495%,5.50105399708124%,10.9705438066465%,4.74834078673769%,0.927724888284438%,9.17748252822364%,2.10178134582917%,0%,3.31740230531347%,101706.869413913,110879.990580235,89102.151625902
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",Mid-Hudson,71.66558831685%,75.9222851856135%,70.7139649753031%,27.3033790222092%,3.86333184457347%,36.7457671438844%,4.68589564081023%,3.56075994742502%,5.5977144897777%,9.45379506029535%,0.517897943640518%,14.0970281940564%,65751.0818984975,88981.3648134044,49342.0963931928
"Sullivan & Ulster (West) Counties PUMA, New York",Mid-Hudson,80.1539012168934%,85.9043395628762%,77.8135048231511%,19.1909404711439%,11.7294148334927%,21.7570998405857%,6.07030430220357%,2.96098343132015%,6.98455846264205%,6.20246692656739%,5.11307767944936%,7.18086358713566%,52810.4656013779,82481.0186823992,42722.5986100676
