,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,,,,,,,,,,,,,,,,,,,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",10071,5717,4354,1339,284,1055,8732,5433,3299,5923,2669,3254,789,141,648,5134,2528,2606,4022,3010,1012,550,143,407,3472,2867,605,126,38,88,0,0,0,126,38,88,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",8919,4849,4070,1047,377,670,7872,4472,3400,4682,2240,2442,348,87,261,4334,2153,2181,1865,936,929,93,0,93,1772,936,836,2372,1673,699,606,290,316,1766,1383,383,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",9376,5712,3664,1347,141,1206,8029,5571,2458,5670,3412,2258,760,141,619,4910,3271,1639,2277,1202,1075,541,0,541,1736,1202,534,1429,1098,331,46,0,46,1383,1098,285,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",14495,7282,7213,1172,544,628,13323,6738,6585,8949,4622,4327,661,382,279,8288,4240,4048,4140,1650,2490,317,68,249,3823,1582,2241,1406,1010,396,194,94,100,1212,916,296,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",11752,6881,4871,2059,453,1606,9693,6428,3265,4978,2903,2075,537,58,479,4441,2845,1596,5657,3211,2446,1335,395,940,4322,2816,1506,1117,767,350,187,0,187,930,767,163,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",8244,5074,3170,1393,696,697,6851,4378,2473,1582,705,877,79,0,79,1503,705,798,4006,2072,1934,822,204,618,3184,1868,1316,2656,2297,359,492,492,0,2164,1805,359,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",8551,4616,3935,817,263,554,7734,4353,3381,2786,1348,1438,230,73,157,2556,1275,1281,4663,2736,1927,185,0,185,4478,2736,1742,1102,532,570,402,190,212,700,342,358,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",3714,1702,2012,582,79,503,3132,1623,1509,692,315,377,107,0,107,585,315,270,2921,1387,1534,475,79,396,2446,1308,1138,101,0,101,0,0,0,101,0,101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",2851,1352,1499,351,0,351,2500,1352,1148,1068,613,455,114,0,114,954,613,341,1201,677,524,237,0,237,964,677,287,582,62,520,0,0,0,582,62,520,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",6229,2939,3290,838,293,545,5391,2646,2745,2657,1071,1586,413,174,239,2244,897,1347,3375,1671,1704,425,119,306,2950,1552,1398,197,197,0,0,0,0,197,197,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",9134,4193,4941,642,0,642,8492,4193,4299,4088,1733,2355,218,0,218,3870,1733,2137,4932,2409,2523,424,0,424,4508,2409,2099,114,51,63,0,0,0,114,51,63,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
