,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Rockland County (North)--New City & Congers PUMA, New York",Mid-Hudson,80.4457142857143%,69.3383853104051%,87.7400995968698%,22.4483804677561%,19.8430218297768%,11.020757543334%,3.16390633923472%,0%,0%,9.78832220485865%,0%,3.72972972972973%,57884.4821707629,89711.4754098361,47194.0189189189,46.6412213740458%,42.9726996966633%,33.4569045412419%,73.1695331695332%,75.7419671326956%,74.3141067185137%
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",Mid-Hudson,92.4127203594884%,95.0018109380659%,87.1914893617021%,12.6427179058758%,0%,10.4243234213164%,0%,0%,0%,11.1464372545353%,0%,0%,94906.6859921451,87982.9012581014,122437.28648121,57.7511643379907%,43.2432432432432%,22.2996515679443%,78.65966207582%,90.5236198064883%,79.8878766643308%
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",Mid-Hudson,85.3663960858446%,91.0210568136671%,83.5099210171451%,25.3798961774422%,14.3958868894602%,30.3833865814696%,3.24989020641195%,0%,5.5785902751602%,19.3695453953367%,13.9240506329114%,19.838523644752%,53446.5025400547,86336.3160192056,41034.0253748558,37.2663551401869%,35.9090909090909%,38.3206470028544%,42.6712590891695%,67.6470588235294%,31.3071895424837%
"Sullivan & Ulster (West) Counties PUMA, New York",Mid-Hudson,77.8562653562654%,82.0404721753794%,77.7552056881666%,29.8887122416534%,13.9553429027113%,36.8375700129255%,0%,0%,0%,16.2919132149901%,8.73586844809866%,21.4239059438276%,54650.8244575937,79269.4758478931,39269.1312867407,38.6930983847283%,0%,44.2114093959732%,55.421686746988%,84.7077662129704%,35.2941176470588%
"Ulster County (East) PUMA, New York",Mid-Hudson,77.0850884582982%,51.8796992481203%,83.4938101788171%,23.2394366197183%,22.9235880398671%,40.0709219858156%,1.76551724137931%,5.07533703409992%,0%,17.4134790528233%,24.7987117552335%,26.6886326194399%,42795.6284153006,88895.9742351047,34797.3640856672,15.8756824863503%,24.748490945674%,25.172754195459%,44.472947761194%,66.9767441860465%,35.8048162230672%
"Westchester County (Central)--White Plains City PUMA, New York",Mid-Hudson,86.1065877128053%,88.2698329853862%,79.0729692519504%,15.8988482724086%,8.05243445692884%,24.9951672143824%,3.24125230202578%,2.74291628930004%,5.23175768701239%,12.9201409782515%,6.65188470066519%,20.3424260011608%,96359.7352359666,135713.688100517,45098.46198491,31.1233352634627%,33.3021223470662%,35.5081059707394%,55.7860330630461%,64.7058823529412%,48.0023501762632%
"Westchester County (Northeast) PUMA, New York",Mid-Hudson,90.8765225698591%,94.713240500354%,81.1977715877437%,14.2662616528752%,8.25358851674641%,18.7385180649112%,3.4760644695694%,3.57640501625639%,4.9216186656945%,7.95006570302234%,1.71941191128831%,8.57632933104631%,68725.308804205,95661.0266633441,42075.8576329331,19.7255574614065%,0%,31.8631863186319%,60.4173253240595%,70.9728867623605%,65.3678304239402%
"Westchester County (Northwest) PUMA, New York",Mid-Hudson,79.7686848330851%,83.6780324203466%,75.7478833490122%,10.6515402190184%,2.3998647963495%,7.95043882292204%,9.62539465824729%,6.68789808917197%,9.91506646971935%,8.79833040421793%,1.11333778668448%,9.46348733233979%,63238.026142355,96281.8503674015,32556.6318926975,27.1965065502183%,0%,31.2317880794702%,52.1715141483408%,76.6604698326855%,31.8346253229974%
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",Mid-Hudson,81.3081095041322%,80.7013574660634%,79.0206698353045%,19.1990896282649%,12.9495062418483%,25.7087378640777%,9.5836211769139%,12.2036110506852%,10.3707684040838%,9.6085126657667%,0%,15.1489718841796%,72910.1135551497,146347.29464536,48101.5624562876,31.9913256647181%,32.946735395189%,38.3773643895576%,40.6794377815163%,53.195453698528%,36.3574418378273%
"Westchester County (Southeast) PUMA, New York",Mid-Hudson,86.1987482437093%,96.396528901309%,75.69690435854%,10.5058581820201%,0.946870068385061%,11.4506873081543%,5.19586849729185%,4.05023990968106%,8.37223778400249%,7.38682670223013%,0%,3.33672431332655%,81116.4058679707,119412.000305157,50521.3387589013,19.1287220484301%,0%,20.1947719118401%,47.8205341773558%,55.6417674907943%,43.5740024022421%
