,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",Long Island,78.5867646357174%,79.9468085106383%,76.0873054084417%,6.83698118732157%,5.38795633290292%,6.17589501554046%,8.01170142493159%,9.93662864385298%,6.53071133770333%,2.59716562252904%,2.24550898203593%,0%,71019.5033695586,94119.1017964072,60865.1824509597,26.9461077844311%,9.14927768860353%,24.0693378800796%,80.4361485862133%,92.6869350862777%,78.8059005305813%
LONG ISLAND,,82.2949627496668%,83.3576353118314%,81.3041076742718%,6.68026533708329%,4.06494227023966%,8.21887417436744%,4.75438728264777%,3.55363199753898%,5.73651085496075%,1.86163288684084%,1.02097436466541%,2.49671667512108%,93304.5442369701,118552.030199609,67104.5445502,20.8561752088508%,16.1685690940154%,22.078044785991%,87.1639786413916%,90.0373641692471%,85.2864218194184%
"Dutchess County (North & East) PUMA, New York",Mid-Hudson,83.2866112179413%,86.5020297699594%,81.3299339630528%,8.628826173733%,4.26607064768476%,10.1254216196745%,5.62322946175637%,4.7098111469369%,6.21807967313585%,3.77305757406372%,1.85764567852953%,4.62415759460861%,68793.2590614482,90693.0842132708,53471.7047124724,19.4261620732209%,11.5250291036088%,19.4967505415764%,78.7014700339239%,85.7635683397308%,76.0975286995071%
"Dutchess County (Southwest) PUMA, New York",Mid-Hudson,82.8508133701106%,88.9168377823409%,80.1497377587381%,14.6359870822803%,5.9963436928702%,16.1102096854718%,7.66467834006799%,1.63754889178618%,10.1321931510611%,3.92898719441211%,2.04376190751111%,5.75045759609518%,68406.1756363541,88374.2962877432,51709.8854088616,31.9193093142952%,6.05479452054795%,41.4859786065337%,75.4609904000849%,82.9753199268739%,74.0268687564589%
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",Mid-Hudson,84.4910973381579%,85.7040523945968%,84.3669703340341%,11.1326378539493%,3.01704493665117%,11.2876659238446%,3.99602173835826%,1.73802458668928%,3.09094054552794%,5.21197645653843%,0%,5.97355852426109%,72757.2383819539,97803.3862686567,61106.8284072818,24.7209406161631%,4.66138962181179%,24.3638820085566%,78.8556763285024%,88.6610154042475%,77.3193850989637%
"Orange County (Northwest) PUMA, New York",Mid-Hudson,80.1608238248101%,84.6145374449339%,78.7956527823126%,15.4715197352872%,3.28511432571162%,15.527734307077%,4.29839336615704%,2.48133509003074%,5.19879119841345%,5.46360917248255%,3.67044123389301%,6.03093091299934%,64695.7769319218,91132.4053104256,53592.0629846682,28.3288948069241%,26.6540642722117%,24.8640983219097%,83.6558008274939%,89.0713952403173%,82.7417767781839%
"Orange County (Southeast) PUMA, New York",Mid-Hudson,81.6730412610107%,86.2776144160446%,78.2593141513773%,14.3905922256438%,6.03086419753086%,15.093435553426%,3.84772462077013%,4.83992751434612%,2.82936365039354%,5.56284812147444%,1.19723848641091%,5.87735910664142%,79857.4635825026,102738.726382942,66054.7691503951,23.5349054401121%,17.5303643724696%,22.2539543057996%,78.9396865316388%,81.3024691358025%,80.9011405311732%
"Putnam County PUMA, New York",Mid-Hudson,80.3504857275028%,87.6347135564379%,73.2345757672295%,3.95301997136548%,0.592727078549688%,6.58509760791862%,3.02218713878943%,1.32034890667941%,4.61296617519514%,1.33374058236612%,0.26537216828479%,2.5635423494283%,94535.0587239231,118813.283883495,68132.094395708,5.32768613464111%,6.90362269309638%,4.88322717622081%,87.3835355757111%,90.8496378769863%,84.9639884014592%
"Rockland County (North)--New City & Congers PUMA, New York",Mid-Hudson,78.1728210246174%,80.7551291052344%,77.4966583922093%,7.63675317046201%,4.26645200241497%,9.05381476634075%,4.37278406213068%,3.11752511561154%,6.20490620490621%,2.67035480610671%,3.97024729520866%,1.12110385610447%,92818.1044204479,106916.276564915,77087.8711346557,32.6817826426896%,36.9449378330373%,27.2800972841508%,86.2698247801094%,95.3645938149862%,80.9542190998224%
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",Mid-Hudson,80.2865887590429%,79.3034709193246%,81.5313307781442%,8.79191120925097%,4.31092830738793%,8.93779474511565%,5.03108491752614%,1.19397387010064%,9.52550838387442%,2.09235834344134%,0%,2.48168798513174%,103529.870603015,110921.132855242,95969.4752377829,19.6351510396234%,6.0093896713615%,15.6090782769801%,80.5369917861454%,82.7114037838403%,83.0723848422963%
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",Mid-Hudson,71.4047916295107%,81.3225715094874%,66.3931368892204%,30.9242529534399%,4.73648186173854%,42.2820512820513%,3.97088021178028%,4.26811801775995%,3.57187933863436%,10.3488468903505%,0.592025074003134%,16.6104868913858%,70236.8012655066,94980.5432700679,48039.936329588,69.6641843473374%,21.6363636363636%,73.4032590372729%,64.5564289724874%,91.4305270362765%,51.1931523430745%
