,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",Mid-Hudson,86.5280665280665%,93.0769230769231%,85.6729377713459%,20.5966246731638%,9.71531857207411%,23.8865588176553%,4.03819918144611%,0%,6.94672612062896%,16.1460836136473%,11.1053719008264%,14.7240990990991%,53376.5337177639,86792.6136363636,36039.4736842105,28.8457609805924%,28.2666666666667%,26.8574732581671%,40.8173135050175%,66.0633484162896%,28.9295253749743%
"Sullivan & Ulster (West) Counties PUMA, New York",Mid-Hudson,78.056768558952%,80.5491990846682%,76.7595307917888%,17.5789473684211%,0.99009900990099%,24.1202346041056%,0%,0%,0%,8.53146853146853%,1.42045454545455%,11.1747851002865%,47859.3006993007,57219.3181818182,47253.8116591928,28.1540504648074%,#DIV/0!,28.1540504648074%,53.0933633295838%,95.8%,37.28949478749%
"Ulster County (East) PUMA, New York",Mid-Hudson,75.0382379932701%,50.1730103806228%,80.0498753117207%,19.1941941941942%,23.5655737704918%,31.8010550113037%,1.92019201920192%,5.24590163934426%,0%,13.6975132490828%,26.551724137931%,18.8992731048806%,42688.1369751325,88111.0344827586,19887.3882820258,10.5404198302814%,24.748490945674%,12.9735935706085%,43.968968968969%,66.051912568306%,34.3632253202713%
"Westchester County (Central)--White Plains City PUMA, New York",Mid-Hudson,87.4017957351291%,91.6697657121607%,78.2279142707789%,18.9170237631476%,10.0578210590383%,27.5672102247686%,3.38478705597917%,2.5%,5.95922634605332%,16.0834670947031%,9.12778904665314%,23.4213164049449%,71324.151952916,98196.5517241379,38980.7673627975,37.2681573929624%,28.9243027888446%,43.0902111324376%,54.0708998831321%,61.8076688983567%,51.3001322168356%
"Westchester County (Northeast) PUMA, New York",Mid-Hudson,91.2340690083929%,92.4119241192412%,85.1722634103794%,12.0082530949106%,11.0962208523184%,5.23404255319149%,2.41606526513963%,5.09764978483946%,0%,7.88756388415673%,2.52932551319648%,2.96979006656426%,56902.1124361158,77826.5029325513,41773.0337078652,13.1131458469588%,0%,9.02777777777778%,57.5984470327232%,69.2039667649424%,68.586387434555%
"Westchester County (Northwest) PUMA, New York",Mid-Hudson,79.7133279389666%,86.7390683052301%,74.0556435195657%,11.6921146203723%,3.50703877500617%,9.6612296110414%,6.93103056470856%,3.97406989853439%,10.3715170278638%,11.6154292343388%,1.64744645799012%,11.6371411117899%,55635.7221577726,93991.3476112026,22106.9418386492,26.3650856915106%,0%,33.6472602739726%,43.8991209711176%,70.8816991849839%,22.822445561139%
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",Mid-Hudson,82.4128508735613%,77.1403862784664%,81.3278008298755%,18.3349268220931%,17.2371031746032%,22.0973287490082%,9.9168161800685%,13.1719673515339%,10.9213023799095%,9.48457751431729%,0%,14.8870262390671%,50733.6270471215,86628.4753363229,26502.6455331412,27.0668316831683%,3.24470482199189%,28.896174863388%,39.538133411782%,44.9652777777778%,37.6355461518117%
"Westchester County (Southeast) PUMA, New York",Mid-Hudson,84.2810209754865%,93.7801472454938%,78.0458590006845%,13.3509389671362%,0%,12.7964205816555%,6.69914738124239%,6.79129200189304%,8.96517247125479%,9.96501749125437%,0%,3.59570269677702%,68342.1589205397,111369.112073633,41981.0825013137,23.879085912641%,0%,20.6824146981627%,45.1511150234742%,59.9633531836922%,38.3146905294556%
"Westchester County (Southwest)--Yonkers City PUMA, New York",Mid-Hudson,83.0936286495038%,86.5674255691769%,84.6243158069332%,24.5001052410019%,1.42109199700823%,28.1139210588513%,10.4828419850917%,4.62742429397754%,13.6977791582544%,12.4881003894418%,0%,15.3861230889847%,56510.4716572912,77125.6119765325,33383.5791925466,26.4431841199109%,2.12014134275618%,24.8039007843969%,41.9543254051779%,54.0762902019447%,39.2933112739305%
MID-HUDSON,,83.8128891132425%,86.556609085381%,80.8624920300636%,19.578053974055%,7.97080234986436%,20.8912721277623%,5.32189366707773%,3.55286738351254%,6.74453726892122%,12.33501676357%,2.95326810990841%,11.6411431327626%,61853.7000602289,92606.615580766,33785.3374565972,29.4418370767684%,10.1287982993623%,28.8241346121934%,51.8851028306898%,66.8332389857307%,46.5348364442802%
