,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,
,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"Westchester County (Central)--White Plains City PUMA, New York",13575,7692,5883,440,228,212,13135,7464,5671,7729,3686,4043,212,0,212,7517,3686,3831,4358,2832,1526,228,228,0,4130,2604,1526,1488,1174,314,0,0,0,1488,1174,314
"Westchester County (Southwest)--Yonkers City PUMA, New York",20182,10761,9421,1988,753,1235,18194,10008,8186,8337,3479,4858,272,0,272,8065,3479,4586,8793,5232,3561,1159,603,556,7634,4629,3005,3052,2050,1002,557,150,407,2495,1900,595
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",15923,8065,7858,1526,206,1320,14397,7859,6538,4597,2091,2506,561,113,448,4036,1978,2058,9305,4921,4384,965,93,872,8340,4828,3512,2021,1053,968,0,0,0,2021,1053,968
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",10238,5781,4457,542,181,361,9696,5600,4096,5685,2669,3016,117,117,0,5568,2552,3016,4427,3074,1353,405,64,341,4022,3010,1012,126,38,88,20,0,20,106,38,68
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",8781,4849,3932,434,290,144,8347,4559,3788,4579,2240,2339,144,0,144,4435,2240,2195,1830,936,894,0,0,0,1830,936,894,2372,1673,699,290,290,0,2082,1383,699
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",9371,5712,3659,509,397,112,8862,5315,3547,5665,3412,2253,66,0,66,5599,3412,2187,2277,1202,1075,0,0,0,2277,1202,1075,1429,1098,331,443,397,46,986,701,285
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",14660,7282,7378,274,0,274,14386,7282,7104,9124,4622,4502,175,0,175,8949,4622,4327,4140,1650,2490,0,0,0,4140,1650,2490,1396,1010,386,99,0,99,1297,1010,287
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",11578,6562,5016,294,149,145,11284,6413,4871,5123,2903,2220,145,0,145,4978,2903,2075,5338,2892,2446,149,149,0,5189,2743,2446,1117,767,350,0,0,0,1117,767,350
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",8418,5181,3237,391,324,67,8027,4857,3170,1582,705,877,0,0,0,1582,705,877,4286,2285,2001,391,324,67,3895,1961,1934,2550,2191,359,0,0,0,2550,2191,359
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",8201,4399,3802,258,58,200,7943,4341,3602,2653,1348,1305,73,0,73,2580,1348,1232,4578,2651,1927,127,0,127,4451,2651,1800,970,400,570,58,58,0,912,342,570
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",3656,1702,1954,75,0,75,3581,1702,1879,767,315,452,75,0,75,692,315,377,2788,1387,1401,0,0,0,2788,1387,1401,101,0,101,0,0,0,101,0,101
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",3062,1487,1575,211,135,76,2851,1352,1499,1068,613,455,0,0,0,1068,613,455,1412,812,600,211,135,76,1201,677,524,582,62,520,0,0,0,582,62,520
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",6405,2939,3466,305,129,176,6100,2810,3290,2739,1071,1668,211,129,82,2528,942,1586,3469,1671,1798,94,0,94,3375,1671,1704,197,197,0,0,0,0,197,197,0
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",9351,4193,5158,536,0,536,8815,4193,4622,4023,1733,2290,0,0,0,4023,1733,2290,5214,2409,2805,536,0,536,4678,2409,2269,114,51,63,0,0,0,114,51,63
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",6657,3206,3451,130,0,130,6527,3206,3321,2939,951,1988,0,0,0,2939,951,1988,2735,1546,1189,130,0,130,2605,1546,1059,983,709,274,0,0,0,983,709,274
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",5570,3639,1931,211,211,0,5359,3428,1931,1852,1348,504,103,103,0,1749,1245,504,2050,715,1335,0,0,0,2050,715,1335,1668,1576,92,108,108,0,1560,1468,92
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",4748,2497,2251,454,289,165,4294,2208,2086,1956,1189,767,0,0,0,1956,1189,767,2220,975,1245,352,289,63,1868,686,1182,572,333,239,102,0,102,470,333,137
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",2314,843,1471,33,33,0,2281,810,1471,887,597,290,33,33,0,854,564,290,1181,246,935,0,0,0,1181,246,935,246,0,246,0,0,0,246,0,246
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",3619,1961,1658,169,0,169,3450,1961,1489,2943,1686,1257,169,0,169,2774,1686,1088,676,275,401,0,0,0,676,275,401,0,0,0,0,0,0,0,0,0
"Suffolk County (East) PUMA, New York",6717,3689,3028,146,0,146,6571,3689,2882,1483,794,689,0,0,0,1483,794,689,3981,1981,2000,146,0,146,3835,1981,1854,1253,914,339,0,0,0,1253,914,339
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",3991,3147,844,278,169,109,3713,2978,735,975,535,440,109,0,109,866,535,331,2558,2154,404,105,105,0,2453,2049,404,458,458,0,64,64,0,394,394,0
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",7949,4265,3684,84,0,84,7865,4265,3600,2943,1115,1828,84,0,84,2859,1115,1744,4444,2588,1856,0,0,0,4444,2588,1856,562,562,0,0,0,0,562,562,0
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",4734,2700,2034,228,84,144,4506,2616,1890,1764,889,875,0,0,0,1764,889,875,2132,1585,547,228,84,144,1904,1501,403,838,226,612,0,0,0,838,226,612
"Suffolk County (Central)--Islip Town (East) PUMA, New York",1211,718,493,0,0,0,1211,718,493,540,318,222,0,0,0,540,318,222,592,321,271,0,0,0,592,321,271,79,79,0,0,0,0,79,79,0
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",18877,10615,8262,144,15,129,18733,10600,8133,2869,874,1995,73,0,73,2796,874,1922,13406,7701,5705,71,15,56,13335,7686,5649,2602,2040,562,0,0,0,2602,2040,562
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",3916,2375,1541,43,43,0,3873,2332,1541,1281,890,391,0,0,0,1281,890,391,1590,840,750,43,43,0,1547,797,750,1045,645,400,0,0,0,1045,645,400
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",4774,2473,2301,209,76,133,4565,2397,2168,1531,867,664,74,0,74,1457,867,590,2221,894,1327,135,76,59,2086,818,1268,1022,712,310,0,0,0,1022,712,310
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",9512,4850,4662,571,419,152,8941,4431,4510,2309,774,1535,176,176,0,2133,598,1535,4977,2576,2401,0,0,0,4977,2576,2401,2226,1500,726,395,243,152,1831,1257,574
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",11160,5129,6031,74,0,74,11086,5129,5957,5298,2291,3007,0,0,0,5298,2291,3007,4593,2390,2203,74,0,74,4519,2390,2129,1269,448,821,0,0,0,1269,448,821
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",6183,3518,2665,351,80,271,5832,3438,2394,2193,1136,1057,268,80,188,1925,1056,869,3530,1973,1557,83,0,83,3447,1973,1474,460,409,51,0,0,0,460,409,51
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",8841,3826,5015,78,40,38,8763,3786,4977,3430,1382,2048,38,0,38,3392,1382,2010,4502,1874,2628,40,40,0,4462,1834,2628,909,570,339,0,0,0,909,570,339
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",14707,7830,6877,1086,119,967,13621,7711,5910,4974,2468,2506,665,56,609,4309,2412,1897,8767,4494,4273,421,63,358,8346,4431,3915,966,868,98,0,0,0,966,868,98
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",14277,7247,7030,1326,479,847,12951,6768,6183,2205,817,1388,52,52,0,2153,765,1388,9567,5202,4365,787,167,620,8780,5035,3745,2505,1228,1277,487,260,227,2018,968,1050
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",16580,9287,7293,2335,831,1504,14245,8456,5789,4988,3342,1646,1393,831,562,3595,2511,1084,8920,4393,4527,602,0,602,8318,4393,3925,2672,1552,1120,340,0,340,2332,1552,780
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",11875,6514,5361,927,546,381,10948,5968,4980,2635,1857,778,0,0,0,2635,1857,778,6722,3588,3134,564,452,112,6158,3136,3022,2518,1069,1449,363,94,269,2155,975,1180
