,,Unemployment %,,,Full Time Work Access,,,Poverty,,,Working Poor,,,,Income,,
Total GEOG-101,Overall,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,HSINC,Overall,BABS,HS
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",New York,7.72109363067054%,1.3350700097688%,9.84337611485752%,78.6036570885776%,85.6765676567657%,76.0380133499265%,16.1095449053564%,0.935483870967742%,14.9867374005305%,,,,,49896.3494461229,63960.8821263482,47135.6792144026
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",New York,12.0245398773006%,1.86046511627907%,9.91266005257356%,73.5015425297488%,73.9908145999517%,71.9924812030075%,51.2091810875389%,12.0053020261314%,52.9326923076923%,,,,,41554.0931644431,51998.6968311009,41269.9026821742
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",New York,2.92081459396634%,1.55674589889521%,3.53336130927402%,80.2920806985848%,91.2289234760052%,79.3239389364201%,29.6235980949455%,7.51114827201784%,31.4332167315367%,,,,,58097.6167260454,64703.0566909543,55386.0145923654
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",New York,5.74802533823414%,5.31785899878746%,7.13571190396799%,87.3915029693924%,92.5426774483379%,85.1282051282051%,14.3221169552434%,6.70971806583714%,17.2427816185441%,,,,,48457.8306325144,65554.0349514563,36577.5037650602
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",New York,2.33886320369867%,3.81569474442045%,1.84512161028795%,78.3886771910724%,89.2529950669486%,63.742523497579%,19.0424895272292%,3.61687876758205%,28.3170303486331%,,,,,58880.2326388889,74110.5171733123,47088.5612153709
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",New York,6.57945861934982%,5.36327608982827%,8.96795060276389%,85.6411637931035%,88.4787766939098%,79.6834625322998%,21.5518081684375%,6.86665104288727%,21.4814814814815%,,,,,71828.4350424662,72743.7097735399,82997.2841507904
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",New York,5.87318087318087%,4.57499350142969%,8.13977819627537%,83.2975569866094%,88.2712901580826%,78.6932401890281%,25.9681852252853%,16.6588894073728%,17.8993276394694%,,,,,46287.7162842067,53189.9480069324,45711.2793733682
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",New York,5.88776448942042%,3.72420734776044%,8.50034554250173%,73.9628820960699%,75.8587324625061%,75.7913043478261%,23.4781323877069%,10.4308390022676%,17.9814385150812%,,,,,48028.1795817958,61922.5446428572,42269.3896282699
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",New York,17.6599505125486%,14.4419228388694%,15.210843373494%,89.7038408144378%,95.311845960653%,87.7924720244151%,27.9534026982626%,19.0781698463616%,23.6133729284414%,,,,,47719.6643452842,62609.898989899,41165.8394305579
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",New York,6.44771894771895%,1.85889311364597%,9.2485549132948%,80.0315942276492%,78.6341564211179%,83.096645428725%,30.5209212212118%,7.19246938402486%,36.6706225051246%,,,,,45824.5404107762,59681.5976875575,37060.9413394919
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",New York,8.48107739515854%,5.92213114754098%,10.2015599660205%,86.1480158557303%,88.1298992161254%,84.7794707297514%,23.57742615328%,5.59394226218647%,26.9492443855741%,,,,,49238.1721191283,61864.5639366986,39173.3636019675
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",New York,10.3778585491443%,10.7100591715976%,9.28701423830425%,86.1726235439113%,92.1127911728647%,84.9086308687096%,39.7965818316924%,10.8078082843993%,40.1310704083347%,,,,,41609.2959630911,57685.0532386868,38031.5078471624
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",New York,13.4830023345806%,1.97114407640723%,16.7484627968635%,80.2354442947309%,83.5770416791008%,78.9962585472842%,36.2825990864889%,10.2498228206945%,35.1056048276493%,,,,,45348.3887219374,59539.3239704832,39796.8797974849
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",New York,15.5238546739646%,12.278547623224%,13.4856464653957%,84.5456691054992%,91.8809980806142%,83.6351716790953%,30.2881214225995%,12.4651010018065%,26.6240865412279%,,,,,38791.4856791916,55545.7697931899,32754.4875563394
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",New York,3.04818655818484%,0%,5.07467480327606%,88.2892233177651%,89.6624250709854%,95.292747837658%,25.4766772859113%,5.18418874172185%,31.4629258517034%,,,,,52862.710292581,60299.0992258973,47321.6093559085
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",New York,7.66250538097288%,6.68604651162791%,6.4766473825314%,81.414927136668%,94.0298507462687%,75.3360022876752%,50.9404654315409%,18.6032264651828%,46.9046215247857%,,,,,36873.4159762956,45378.139474369,35830.9214272158
