,,NB,,,,,,,,,,,,FB,,,,,,,,,,,
,,BABS,,,,,,HS,,,,,,BABS,,,,,,HS,,,,,
,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,
,NYS Regions,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",New York,5362,1729,3633,543,356,187,19281,10623,8658,1735,1123,612,2086,646,1440,52,0,52,7129,3417,3712,0,0,0
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",New York,44351,21475,22876,1702,836,866,8432,4739,3693,1114,836,278,5379,2605,2774,314,0,314,1058,670,388,0,0,0
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",New York,15292,6128,9164,514,217,297,8769,5980,2789,545,186,359,6981,4231,2750,548,216,332,8078,4862,3216,488,172,316
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",New York,18168,8309,9859,248,94,154,16274,8384,7890,1280,326,954,1940,682,1258,56,0,56,2957,1380,1577,225,156,69
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",New York,14740,7429,7311,242,96,146,10065,5596,4469,1239,1157,82,2136,602,1534,117,117,0,3573,1628,1945,764,501,263
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",New York,58813,33426,25387,1725,872,853,6583,3828,2755,628,0,628,12896,7122,5774,649,649,0,918,181,737,0,0,0
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",New York,24069,11156,12913,1131,283,848,18861,7058,11803,3180,1457,1723,4989,2675,2314,162,96,66,2037,706,1331,0,0,0
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",New York,13272,5897,7375,1026,377,649,9478,4718,4760,1097,914,183,3952,1855,2097,61,61,0,6120,3046,3074,296,139,157
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",New York,23804,11540,12264,1548,1093,455,14968,9979,4989,2176,1606,570,6780,2351,4429,1020,592,428,14610,7048,7562,1357,569,788
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",New York,34101,19661,14440,1239,983,256,11855,7058,4797,1632,1067,565,5586,2632,2954,0,0,0,2482,1505,977,168,90,78
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",New York,54312,29062,25250,960,430,530,10772,7341,3431,902,858,44,10747,5920,4827,625,322,303,3214,1556,1658,181,181,0
